name,policy,size,level,miss
179.art,f,22,1,0.00007038367331359418
179.art,f,23,1,0.00007038367331359418
179.art,f,24,1,0.00007038367331359418
179.art,f,25,1,0.00007038367331359418
179.art,l,16,1,0.32725891792440753
179.art,l,17,1,0.32725891792440753
179.art,l,18,1,0.32725891792440753
179.art,l,19,1,0.32725891792440753
179.art,l,20,1,0.2337866375799064
179.art,l,21,1,0.041842569189765054
179.art,l,22,1,0.00007038367331359418
179.art,l,23,1,0.00007038367331359418
179.art,l,24,1,0.00007038367331359418
179.art,l,25,1,0.00007038367331359418
179.art,r,16,1,0.3295453762158563
179.art,r,17,1,0.32805597727015307
179.art,r,18,1,0.3204214192546519
179.art,r,19,1,0.2736738383651837
179.art,r,20,1,0.16179692788629974
179.art,r,21,1,0.045742003757062666
179.art,r,22,1,0.00007038367331359418
179.art,r,23,1,0.00007038367331359418
179.art,r,24,1,0.00007038367331359418
179.art,r,25,1,0.00007038367331359418
181.mcf,2,16,1,0.29689374301802446
181.mcf,2,17,1,0.2838211184596186
181.mcf,2,18,1,0.2716094960677735
181.mcf,2,19,1,0.25930544236543623
181.mcf,2,20,1,0.24313865648337865
181.mcf,2,21,1,0.1833161038237088
181.mcf,2,22,1,0.11870745514191193
181.mcf,2,23,1,0.0507225035148617
181.mcf,2,24,1,0.039086980775473665
181.mcf,2,25,1,0.036748287588682135
181.mcf,f,16,1,0.299176886573703
181.mcf,f,17,1,0.28697288329721743
181.mcf,f,18,1,0.2750669918979602
181.mcf,f,19,1,0.26272609733058205
181.mcf,f,20,1,0.24910429873371923
181.mcf,f,21,1,0.2105335903736102
181.mcf,f,22,1,0.13382638686657683
181.mcf,f,23,1,0.06151882816051948
181.mcf,f,24,1,0.04324596317195593
181.mcf,f,25,1,0.03927207116679795
181.mcf,l,16,1,0.29617202043944674
181.mcf,l,17,1,0.28096273498577184
181.mcf,l,18,1,0.26929587736724825
181.mcf,l,19,1,0.25737864221510726
181.mcf,l,20,1,0.2436671982154939
181.mcf,l,21,1,0.20564509775947096
181.mcf,l,22,1,0.1243643593045409
181.mcf,l,23,1,0.04803205787749138
181.mcf,l,24,1,0.03745762499045192
181.mcf,l,25,1,0.03632478616443222
181.mcf,r,16,1,0.29859222249314604
181.mcf,r,17,1,0.2876263182213361
181.mcf,r,18,1,0.27594595500658675
181.mcf,r,19,1,0.2627830241164671
181.mcf,r,20,1,0.2401020104620394
181.mcf,r,21,1,0.17842260026209097
181.mcf,r,22,1,0.11619859117935766
181.mcf,r,23,1,0.05778830810528641
181.mcf,r,24,1,0.04333186287171736
181.mcf,r,25,1,0.038987582062444286
183.equake,2,16,1,0.06688289822851948
183.equake,2,17,1,0.06227829297611866
183.equake,2,18,1,0.06164257899986532
183.equake,2,19,1,0.061008353575961745
183.equake,2,20,1,0.06066793686100408
183.equake,2,21,1,0.05941538943565406
183.equake,2,22,1,0.0562317655806003
183.equake,2,23,1,0.05131579202967798
183.equake,2,24,1,0.04658945405394467
183.equake,2,25,1,0.024671686236874945
183.equake,f,16,1,0.0694938545710107
183.equake,f,17,1,0.062117074209396377
183.equake,f,18,1,0.06131287297963013
183.equake,f,19,1,0.06091473129237969
183.equake,f,20,1,0.06088377806175099
183.equake,f,21,1,0.05969462676003971
183.equake,f,22,1,0.05649052837247936
183.equake,f,23,1,0.051559763650743794
183.equake,f,24,1,0.04841062625684019
183.equake,f,25,1,0.04661040812009414
183.equake,l,16,1,0.06977846555827867
183.equake,l,17,1,0.06169862671443961
183.equake,l,18,1,0.06106147746735239
183.equake,l,19,1,0.06088864888032724
183.equake,l,20,1,0.06087447599710446
183.equake,l,21,1,0.05963983893130955
183.equake,l,22,1,0.05613912012480929
183.equake,l,23,1,0.05067199369342218
183.equake,l,24,1,0.046414775044274444
183.equake,l,25,1,0.043926009868158554
183.equake,r,16,1,0.07045294627745748
183.equake,r,17,1,0.06451640303102116
183.equake,r,18,1,0.06345520617965238
183.equake,r,19,1,0.06179008332640766
183.equake,r,20,1,0.06082530825826754
183.equake,r,21,1,0.0592847020875598
183.equake,r,22,1,0.05638610104149046
183.equake,r,23,1,0.052398719969302746
183.equake,r,24,1,0.04512443881382158
183.equake,r,25,1,0.018884415597289067
186.crafty,2,16,1,0.003218374514382999
186.crafty,2,17,1,0.0013405947869200231
186.crafty,2,18,1,0.0006471546720031356
